Sentence,Label
new paradigm using high tech making social impact one package,c3
summary,c11
university menoufia faculty engineering,c12
b sc,c8
year grad 2013 excellent honors 7th,c13
project grad sorter solving garbage problem excellent,c14
computer science engineering,c12
responsible sensors design circuit interface,c14
programming arm microprocessor stm32f103zet6 c language,c14
budgetary planning time schedule project tasks,c14
provide professors required reporting,c14
incubator | team leader,c3
responsible sensors design circuit interface,c2
programming microcontroller pic 18f452 c language,c2
write required reports professor,c11
follow team tasks ensure project delivered time,c11
line follower | project manager,c5
2nd winner academic competition,c5
responsible sensors design circuit interface,c2
programming microcontroller pic 18f452 c language,c2
fire robot | project manager,c5
responsible hardware design implementation,c2
programing microcontroller 16f84a c language,c2
follow team tasks ensure project delivered time,c11
faculty electronic engineer menoufia university,c12
academic ccna certification,c1
enhance work experience build strong highly qualified career,c11
android developer working productive creative team work,c2
2009 2014 bachelor computer science mansoura university,c8
faculty computer information information system department,c12
overall grade good,c13
graduation project android application tourism egypt,c14
grade excellent,c13
professional courses,c1
oracle developer outbox mansoura jan 15 aug 27 ; 2013,c5
android developer itshare mansoura feb 15 june 25 ; 2014,c5
asp net itshare mansoura,c5
arabic mother language,c4
english writing reading speaking,c4
development mobile apps based android,c2
deals clients data feeds designs,c3
co operation development team member production,c3
ability work project without detailed instructions,c3
going maintenance existing projects,c3
excellent knowledge android sdk,c2
knowledge xml json,c2
knowledge sqlite database,c2
coding standards organizational programming skills,c2
training water station mansoura,c5
deltawy net company,c5
android developer al mahalla al kubra al gharbiyah aug 4 ;2014,c5
interactive learn new technologies,c3
good time manager,c3
ability work pressure,c3
ability work team individually,c3
military status yet,c11
marital status signal,c11
marital status married,c11
military service exempted,c11
faculty energy engineering aswan university class 2012,c12
major high voltage networks engineering,c12
total graduation points 1 57,c13
graduation project high dam substation design simulation,c14
graduation project grade a+,c14
"high school gamal abdel nasser military school boys ""mathematical",c11
arabic native language,c4
english excellent written reading v good spoken,c4
french good,c4
german basic knowledge,c4
computer skills,c2
familiar jcreator netbeans eclipse ides android studio,c2
programming languages java expert sqlite expert mysql prior,c2
experience android development expert,c2
familiar adobe photoshop,c2
familiar programming using andengine,c2
android developer ibtikar technologies co january 2015 till,c5
game developer ibtikar technologies co october 2014 till,c5
"android developer ""madar software"" may 2013 till october 2014",c5
worked six months marketing manager house training,c5
consultation solutions aswan,c5
worked four years marketing executive mega advertising agency,c5
courses certifications,c1
"""java programming"" 80 hours course",c1
"""fundamentals querying using mysql"" 16 hours course",c1
"""java database enterprise connectivity"" 16 hours course",c1
"""web component development servlet jsp jsf ejb",c2
"technologies"" 80 hours course",c1
"""android applications development"" 40 hours course",c1
attended qualifying courses marketing communication,c1
presentation skills,c3
"attended ""trainer trainers"" course organized united nations",c3
voluntary activities,c10
volunteered fagr al nahda association ngo 2005 till 2010,c10
leader e marketing team association four years,c10
leader advertising publicity public relations future guardians,c10
project concerned spreading awareness drug addiction one,c10
marketing supervisor marketing committee future technology,c10
h r trainer several projects teams association,c10
volunteered bedaya association ngo aswan,c10
supervisor marketing committee,c10
h r trainer several projects teams,c10
talented individual analytical mind ability respond complex issues knowledge strategic trouble,c3
shooting root cause analysis fact finding data collection stakeholders management experience software,c3
development sql public libraries aes/des encryption decryption image processing artificial intelligence,c2
hcs12 microcontroller experience project management methodologies communications interpersonal skills,c2
presentation skills,c3
java software developer blocks | professional software services,c2
developing web based applications java ee technologies java based web application frameworks,c2
like jsf jsp,c2
software design,c2
decentralized peer peer computing system,c14
project implements technology peer peer decentralized cloud system sharing,c14
computer resources computing power storage etc peers depends using idle time,c14
peers uses available resources get mainly large computing power peers free,c14
project developed using java language,c14
scanner parser system,c14
project implements scanner parser using lex scanner generator yacc parser,c14
generator programming language called tiny language tiny program sequence,c14
statements ended semi colons expressions limited boolean arithmetic,c14
heat protection control system,c14
control system controls heat temperature electronic device protects overheating,c14
controller used arduino uno kit full physical deployment control system,c14
calendar system program,c14
user calendar program able schedule appointments calendar early,c14
reminders scheduled appointments ability schedule appointment user,c14
program user interface implemented using qt database implement using sql,c14
data mining,c2
data mining insurance company customer data,c14
data mining intended finding relations correlations attributes customers data,c14
use increasing business value company implementing strategies using findings,c14
project implemented using r language,c14
encryption,c2
aes des encryption decryption system,c2
decrypting encrypting data using aes des algorithms project implemented using c++,c2
hardware design,c2
designing computer processor using verilog,c2
designing fully functional cpu processing unit using verilog language,c2
database design,c2
public library database full design,c2
designing public library full database possibility querying certain information using sql,c2
programming skills c c++ c# java python sql javascript jquery jsp jsf css html arduino,c2
assembly language matlab prolog verilog vhdl,c2
software development life cycle,c2
hardware design / modelling,c2
project management,c3
information systems security access control telecommunications network security information security,c2
governance risk management software development security cryptography security architecture,c2
design operations security business continuity disaster recovery planning legal regulations,c2
investigations compliance physical security,c2
bachelor science computer systems engineering,c8
faculty engineering shams university,c12
seeking training company enables utilize computer communication language,c11
skills fulfills personal ambitions enhances knowledge,c11
bachelors degree engineering,c8
helwan university egypt overall grade,c12
good,c13
studied subjects communication electronics,c12
high school el mokattam experimental language school egypt,c11
extra courses,c11
android applications stp student activity cairo university,c10
mobile package huawei cooperation apec student activity,c10
4g started 1g workshop vodafone cooperation ieee,c10
embedded system amit center,c1
project management leoni cooperation flickers student activity,c10
english conversation concept center,c1
quality control leoni cooperation flickers student activity,c10
hr olympic group cooperation flickers student activity,c10
arts management online,c10
basics electronics ieee student activity,c10
interviewing terminology leoni marketing abb hr leoni career mart,c10
stp wireless communication systel,c10
participate injaz startup competition,c10
participate rov remotely operated vehicle competition,c10
challenger cairo space apps hakathone nasa,c5
nile university two days,c5
trainee intern egypt air cairo egypt,c5
industry information technology services network,c5
trainee intern systel cairo egypt,c5
industry telecommunications services,c5
basics mobile system broadband two way,c2
wireless communication linux unix,c2
trainee intern arab organization,c5
industry electronics components,c5
semiconductor,c2
trainee intern telecom egypt cairo egypt,c5
industry telecommunications services network,c5
feb 2014 jul 2014 4 months project manager flickers student activity,c10
giving detailed project plan cooperation executives,c11
making sure project phases done schedule required quality,c11
minimizes risks project,c11
manages project budget,c11
lead planning implementation project,c11
coordinate project staff,c11
raising spirit members within his/her project,c11
detailed report progress work president,c11
preserve flickers image increase awareness flickers important role society,c11
documentation every action detail,c11
hr executive flickers student activity,c10
orientation new members workshops games sessions general meetings,c11
proles members evaluation,c11
motivation plan team work team spirit outings planning competitions members,c11
externally recruitment selection participants responsible,c11
registration system,c11
prole participant entered flickers interview members,c11
participants database,c11
responsible customer service mails mailing reporting system,c11
hr specialist flickers student activity,c10
self motivated leadership people management skills excellent communication skills capable,c3
,
friendly optimistic empathic honest fair problem solving skills creative patient,c3
cooperative,c3
able learn new subjects relate core job volunteering work helping people,c3
organization skills,c3
organized plan hr team flickers applied executive position,c3
teamwork skills,c3
computer skills,c2
volunteer student activity 3 years,c10
graduate engineer interested,c8
embedded systems communication,c2
seeking opportunity internship,c11
organization enrich,c11
knowledge apply experience skills,c11
education faculty engineering alexandria university,c12
communication electronics department,c12
expected grade good,c13
skills abilities languages,c4
arabic mother tongue,c4
english professional working profeciency,c4
,
programming languages c embedded c matlab,c2
ide multisim xilinx ise eagle codeblocks microsoft visual,c2
studio isis 7 codevision mikroc keil simulink,c2
os windows linux,c2
microsoft office,c2
soft skills,c3
presentation skills,c3
good leadership skills,c3
good communication skills,c3
team worker,c3
time management,c3
circuit system insights february 2015 ieee,c1
elec1200 1x system view communications,c1
signals packets august november 2014 hong kong,c1
university science technology,c1
avr micro controllers course june 2013,c1
ee105 microelectronics online course uc berkeley,c1
programming methodology cs 106 stanford university,c1
coffee radar july september 2014 egypt japan,c1
university science technology,c1
training supposed build coffee radar,c2
aim develop skills ability simulate,c2
implement full system antenna analog digital real time,c14
data processing pc interface,c2
member software development team,c2
led propeller display june 2013,c1
rotating array leds designed rotate constant speed,c2
leds turned order display message,c2
air surrounding rotating arm carrying array leds,c2
without using micro controllers analog digital ics,c2
developed project adding infrared remote control,c2
able change color text displayed,c2
propeller,c2
signal processing using matlab december 2014,c14
implemented general signal generator using matlab,c14
implementation lti systems using impulse response,c14
difference equations,c14
investigation system filtering convolution time,c14
frequency domain,c14
investigation effect noise random signal,c14
transmitted signals,c14
dealing sound signals wav files,c14
face recognition using eigenfaces november 2014,c14
built matlab code generate eigenfaces perform,c14
recognition process,c14
vhdl project digital clock,c14
contribute upgrading company work,c11
,
,
increase personal skills gain new experiences,c3
bachelor computer science,c8
faculty computers information cairo university,c12
department information technology major information systems minor,c12
,
ability work pressure teams,c3
ability work continuously long periods time,c3
ability speak fluent english little french,c3
good communication presentation technical writing skills,c3
computer skills,c2
good knowledge different programming languages like c/c++ c# java j2ee,c2
j2me php python android cordova phonegap,c2
good knowledge different web development technologies like html css,c2
javascript bootstrap jquery,c2
good knowledge different ides like microsoft visual studio netbeans eclipse,c2
android studio oracle jdeveloper microsoft sql server matlab,c2
good knowledge different db dbms tools like oracle sql pl/sql mysql,c2
neo4j sqlite,c2
good knowledge different java technologies like jsp jsf hibernate spring,c2
maven,c2
ability work different open source software,c2
highly experienced software engineering uml tools,c2
good knowledge 2d/3d graphics using photoshop flash 3d max,c2
,
2013 2014 scholarship project android application,c14
developing bus hunter application using java android,c14
2010 2011 army project desktop application,c14
developing weapons security system using c#,c14
2008 2009 graduation project web application,c14
developing e mall system using php ajax flash,c14
2008 2009 course project matlab application,c1
developing speech processing system using matlab,c14
2008 2009 course project web application,c1
developing online question bank system using jsp,c14
2007 2008 course project desktop application,c1
developing client/server chat application using java,c14
2007 2008 course project matlab application,c1
developing ocr optical character recognition application using,c14
matlab,c2
2007 2008 course project mobile game,c1
developing 3d maze game using j2me,c14
2007 2008 course project web application,c1
developing online medicine store using php ajax,c14
work experience,c5
web/mobile application developer valuemotiv company,c5
java/android mobile application development trainee mcit scholarship,c5
dot net software developer core concept company software solutions,c5
information systems officer egyptian armed forces,c5
website administrator www shobraelkhema com website,c5
graphic trainee suzann mubarak science exploration center,c5
references,c11
references available request,c11
hope meets satisfaction looking forward,c11
work organization,c11
1 visual studio,c2
2 atmel studio,c2
3 code blocks,c2
4 eclipse,c2
5 mikro c,c2
6 keil microvision,c2
7 proteus,c2
8 matlab,c2
9 labview,c2
10 photoshop,c2
operating,c2
systems,c2
1 windows,c2
2 linux,c2
short term goal seeking passion computer science engineering working,c11
many technical projects enrolling many training courses,c11
long term goal developing technical/non technical skills much possible,c11
great job reputation computer engineer,c11
,
cairo university faculty engineering,c12
department computer communications engineering,c12
cumulative gpa 3 85,c13
expected graduation year 2018,c9
embedded systems diploma,c2
embeddedfab,c2
programming skills,c2
c / c++ expert,c2
embedded c good,c2
data structures good,c2
object oriented programming concepts good,c2
c# average,c2
matlab average,c2
python beginner,c2
microcontrollers,c2
avr,c2
arm,c2
pic,c2
technologies peripherals spi uart i2c pwm adc,c2
software engineering models,c2
v model,c2
incremental v model,c2
,
embedded systems diploma embeddedfab,c1
hardware / software interface coursera,c1
embedded systems shape world edx,c1
classic control cairo university ectl,c1
c++ cairo university ectl,c1
introduction linux online dr ahmed al arabawy,c1
wirelessly controlled solar,c14
powered car,c14
flow chart maker,c14
description 75 50 cm car controlled using,c14
wireless playstation 2 joystick h bridge,c14
"controlled dc motors used ""solar panels""",c14
power source motors addition,c14
super capacitors circuit,c14
technologies arduino h bridge playstation 2,c14
joystick,c14
description graphical flow chart maker,c14
user graphically create flow,c14
chart run generate c++ code using,c14
followed v model,c2
technologies v model c++ visual studio 2013,c2
photoshop,c2
wireless voting system,c14
technologies c++ data structures priority,c2
queues double linked lists queues,c2
description wireless voting system,c14
3 bit signed magnitude alu,c14
technologies arduino pic uart wireless,c2
scratch 3 bit signed magnitude alu addition,c2
subtraction multiplication,c14
technologies basic logic gates proteus,c2
description prototype car detect,c14
obstacle avoidance car,c14
home automation system,c14
automation system used incremental v model,c14
technologies arduino pwm h bridge module,c2
wheel encoders infrared distance sensor,c2
technologies atmega32 temperature sensor,c2
relays wireless modules lcd keypad,c2
description online exam apec student,c10
technologies c# linq sql,c2
contests events activities summer schools,c11
embedded systems laboratory,c2
project team member wireless voting system,c14
intel hackathon cairo university,c5
stp solar powered cars challenge,c10
participant team leader,c3
acm egyptian collegiate programming contest 2014,c5
ieeextreme programming contest 2014,c5
youthinkgreens summer school egypt,c10
attended renewable energy project management sessions 2 weeks,c2
apec,c10
chosen best member apec 2014,c10
human development,c3
technical writing,c3
engineering design,c2
presentations,c3
bridging gap academia industry,c2
game development,c2
frame web portal cairo university faculty engineering,c14
languages,c4
arabic native,c4
english written spoken,c4
military status temporarily exempted,c11
solving programming problems online,c2
video gaming,c11
philosophy,c11
army postponed,c11
language,c4
arabic,c4
english,c4
,
secondary school,c11
graduated el maadi secondary school,c11
,
faculty computers information cairo university,c12
expected graduation year july 2016,c9
graduation project grade a+,c14
problem definition,c11
due last political circumstances house robbery increased breaking,c11
houses it's safe leave house without secured even police,c11
stations nowadays busy many citizens problems,c11
solution,c11
protecting houses thieves feeling safe putting anything inside house,c11
without worried getting stole owner got ability control enter house,c11
supervision entered door he/she want mobile application,c11
connected electronic door,c11
computer skills,c2
computer language c++ java,c2
web development html css javascript sql php,c2
networking ccna,c2
mobile development android,c2
courses,c1
ccna gate academy,c1
android mobile development pi technology,c1
public relation committee fekra student activity,c10
android pharmacy et3lm electronic door safe souq com school,c14
java spelling checkers reversi game,c14
web akhbar com,c14
ios developer,c2
want obtain full time position multinational,c11
offers professional working environment,c11
enables grow meeting corporations goals,c11
well improving skills technical experience,c11
applications development software engineering,c11
testing,c2
mobile applications development ios swift 80% ios objective c 80%,c2
mobile applications development android 60%,c2
programming c 60% c++ 60% java se 80%,c2
web applications development java ee 50% php 60%,c2
networking solid concept networking configurations,c2
system analyses design uml class diagram,c2
conceptual knowledge oop uml sdlc erd data structure,c2
software testing communications networks pattern,c2
recognition system administration,c2
april 2012 june 2012 trained scci java developer,c5
feb 2013 may 2013 trained pi technology ios developer cid 2,c5
ios developer youxel technology ,c5
ios developer googan solution company,c5
bachelor faculty computers information cairo university year 2013,c8
information technology department cid 2,c12
degree good,c13
gpa 2 40 / 4 00,c13
student faculty engineering zagazig university,c9
faculty engineering zagazig university,c12
mechanical engineering related technologies/technicians 2011 2016,c12
activities societies elsa zagazig university branch asme zagazig university branch,c10
kafr saqr secondary school boys,c11
405 scientific maths 2009 2011,c11
grade exellent 98 75%,c13
design engineer zagazig university,c12
robot design programming solidworks design arduino raspberry pi programming smart houses,c2
embedded systems,c2
robot design programming,c2
arduino programming,c2
raspberry pi programming,c2
python,c2
javascrip,c2
robot mechanics,c2
skills expertise,c2
mechatronics,c2
embedded systems,c2
c,c2
robotics,c2
robot programming,c2
automation,c2
smart homes,c2
raspberry pi,c2
arduino,c2
python,c2
javascript,c2
linux,c2
control systems design,c2
matlab,c2
windows,c2
microsoft office,c2
microsoft excel,c2
debugging,c2
projects,c14
child savior,c14
robot saves child firing place,c14
volunteer experience,c10
volunteer life makers foundation,c10
languages,c4
arabic,c4
english,c4
french,c4
interests,c11
playing chess football reading volunteering,c1
honors awards,c11
karate,c11
native bilingual proficiency,c11
professional working proficiency,c11
elementary proficiency,c11
egyptian federation karate,c11
got two waistband i'm playing karate club country yellow orange,c11
waistband,c11
summary,c11
working hard pressure adore team work works aims harder,c3
military service status finished 26/01/2014 01/03/2015,c11
,
web developer,c2
projects,c14
1 graduation project virtual reality clothes shop 2013,c14
build based web site holds project data products clothes image unity,c14
flash room administrative rules,c14
adding products images information,c14
administrators control buy sell department easily,c14
users sign form add feature user manage products bought,c14
plus personal information's billing address payment methods,c14
build unity flash handle product shows virtual reality,c14
2 personal exp cms dream telecom company giza 2012,c5
cms manage company products sell's preview end user,c11
build scratch using php mysql,c2
tow interfaces administrator area end user view,c14
administrators add view products,c14
powers systems groups managed administrator,c11
historical sheet every query runs server translated hll,c11
optimized search engine,c1
3 personal exp cms sona3 el hayah company el fayoum 2010 2011,c5
cms manage hold users information's deal company,c11
build scratch using php mysql,c2
manage users employs bugs salaries uses history,c11
one interface administrators,c11
powers systems groups managed administrator,c14
historical sheet every query run server translated hll,c11
optimized search engine options,c14
attendance check private user employee,c14
b sc degree department computer science,c8
graduation grade good 75 84%,c14
last year grade good 75 %,c13
technical skills,c2
conceptual knowledge,c2
good understanding p software engineering concepts 5+ years,c2
field experience hands building cms using php + mysql dbs,c2
programming languages,c2
1 c/c++ study base,c2
2 c# study base,c2
webdevelopment,c2
1 php field exp 5+ years,c2
2 html xhtml field exp 5+ years,c2
3 css field exp 3+ years,c2
4 javascript jquery fair understanding,c2
5 ajax acceptable knowledge,c2
dbms,c2
1 ms sql server 2005 2008 study base,c2
2 oracle 11g pl/sql study base,c2
technical tools,c2
good use photoshop cs4 +,c2
good use dreamweaver cs4 +,c2
good use microsoft office tools,c2
good experience win 7 8,c2
fair understanding ftps online hosing management,c2
fast learning skill,c3
self study build base,c3
innovation guaranteed,c3
want summer training chance leading company like narss develop technical soft communications,c11
skills take experience work life useful person community,c3
bachelor's degree communication electronics engineering 2015,c8
helwan university faculty engineering,c12
internships,c5
telecome egypt sdh fundamentals 8 26 july 2012,c5
egypt air egypt air maintenance engineering,c5
vodafone egypt customer service wasla outsourcing 5/2014 6/2014,c5
pis partners international solutions 6/2014 9/2014,c5
tele marketing agent working simple medical supply us,c5
robo academy2011 cord student activity,c10
mentor graphics design contents competition 2012,c5
global game jamming 2014,c5
digital access control,c2
team 3rd place,c11
personal skills competences,c3
language native arabic good english little french,c4
technical skills,c2
microcontrollers arduino vhdl,c2
c++ java android data structure,c2
computer skills,c2
icdl excellent microsoft office 2013,c2
proteus eagle orcad,c2
mentor graphics tools,c2
well knowledge basic,c11
marital status single,c11
hobbies,c11
military service postponed,c11
sports swimming gym playing football,c11
proficient internet surfer researcher,c11
reading,c11
1 vice chairman ieee pua sb,c10
2 web development workshop ieee puasb,c10
3 web server application training dar aldelta software company,c5
courses,c1
computer engineering,c2
pharos university alexandria p u,c1
structured programming ce 132,c2
introduction digital logic design ce 121,c2
electric circuits systems ee 215,c2
algorithms data structures ce 233,c2
advanced digital logic design ce 222,c2
electronics ee 232,c2
numerical analysis matlab 207,c2
linear systems signals ee 230,c2
applied probability statistics 208,c2
human computer interaction hu 162,c2
electro mechanical energy conversion ee 214,c2
system programming ce 241,c2
computer organization ce 211,c2
advanced algorithms data structures ce 235,c2
volunteer experience,c10
volunteer ieee pua sb,c10
march 2013 present 2 years 1 month,c10
ieee pharos university alexandria student branch goal develop,c10
improve society,c10
raising awareness ieee events activities,c10
skills,c2
1 matlab,c2
2 java,c2
3 python,c2
4 vhdl,c2
5 assembly sic/ex machine,c2
6 assembly mips machine,c2
7 oop,c2
8 data structures,c2
tools,c11
1 visual studio 2008 2012 2013,c2
2 eclipse,c2
3 xilinx,c2
4 modelsim pe,c2
5 matlab 2008 2013,c2
6 sic/ex,c2
7 sublim text,c2
8 notepad++,c2
pharos university alexandria p u,c12
computer engineering 2012 2017,c12
gpa 3 46,c13
interests,c11
programming gym watching wrestling,c11
ability,c11
1 work extremely effectively pressure,c3
2 every opportunity taken increase understanding member team,c3
3 leading managing others able inspire motivate reach,c3
goals ability communicate compelling vision,c3
4 ability adapt quickly effectively,c3
5 attending conferences events sciences technology softskills,c3
6 devolpe solution complex problem,c3
attending conferences like,c3
1 lyc 14 15 leading career,c11
2 itw 14 interact todays world,c11
seeking chance challenging position reputable organization field,c11
software development training enables develop enhance,c11
education software experience become active participant,c11
organization's success,c11
marital status,c11
military status,c11
married,c11
exempted,c11
may 2008 b sc accounting faculty commerce cairo university,c8
language,c4
arabic smother tongue,c4
english good spoken written,c4
oracle developer,c2
sql pl/sql oracle forms oracle reports,c2
oracle jdeveloper,c2
java programming j2se,c2
j2ee,c2
adf application development framework,c2
oracle application express oracle apex,c2
oracle apps developer,c2
"oracle e business suite essentials erp concepts """,c2
create report ebs,c2
create custom form ebsapi's interface tables,c2
oracle concurrent program,c2
oracle alert manager,c2
sql server reporting services ssrs,c2
work experience,c5
work experience oracle field 6 years oracle field,c5
since oct 2011,c5
working oracle developer oracle apps developer allianz egypt,c5
insurance,c5
job description,c11
establishing detailed program specification discussion clients,c11
clarifying actions program intended perform,c11
breaking program specification simplest elements,c11
translating logic programming language,c2
devising possible solutions anticipated problems,c11
working part team may established purely particular,c11
project write specific section program,c11
combining elements program design testing,c11
testing sample data sets check output program works,c11
intended,c11
conducting testing installing program production,c11
reacting problems correcting program necessary,c11
evaluating increasing program's effectiveness,c11
adapting program new requirements necessary,c11
conducting user acceptance testing ensure program used,c11
easily quickly accurately,c11
writing detailed documentation operation program users,c11
computer operators,c11
consulting manuals periodicals technical reports learn new ways,c11
develop programs maintain existing skills knowledge,c11
updating repairing modifying developing existing software generic,c11
applications,c11
working oracle developer instructor part time,c5
assessing individual/group training needs,c11
planning preparing researching lessons,c3
organizing promoting courses,c11
developing delivering programmers learning activities,c3
preparing teaching materials,c11
spending contact time students individual group basis,c11
checking assessing students' work giving feedback,c11
maintaining upgrading computer software hardware,c2
keeping personal skills knowledge date,c3
working oracle developer system analysis 6 october university,c5
job description,c11
reviewing current systems,c11
preparing analysis documents help developers,c11
presenting ideas system improvements including cost proposals,c11
working closely analysts designers staff,c11
producing detailed specifications writing programme codes,c2
preparation training manuals users,c11
maintaining systems running,c2
working instructor net skill academy,c5
working freelancer oracle developer private projects,c5
skills,c2
long database analysis experience,c2
excellent understanding accounting fundamentals transactions,c3
hard worker self motivated fast learner team player,c3
excellent communications skills,c3
ability work pressure,c3
interests hobbies,c3
photographs,c3
pc strategy games,c3
reading information technology,c3
faculty engineering asu,c12
2nd year electrical dept,c9
faculty engineering asu 2nd electrical,c9
2013 degree v good,c13
elmotafawkeen secondary school,c11
2010 2012 passed 97 2%,c11
computer skills ,c2
microsoft office ,c2
c programming ,c2
c++ programming ,c2
java programming,c2
internet social media,c2
personalities,c3
presentation skills,c3
communication skills,c3
team work,c3
interpersonal,c3
leadership,c3
apr 2015 mobile package sessions huawei company,c5
take nowadays mobile package sessions huawei company mobile communication technology describe,c11
overview rf gsm umts lte etc,c2
apr 2015 mit business mooc submitted edraak com,c5
aces student activity,c10
work business model case study mit business mooc submitted edraak com mit also,c11
case study aces student activity shown aces annual conference,c10
2015 hr member idt student activity,c10
worked academic year hr member idt student activity,c10
2015 pm member brain storm student activity,c10
worked academic year pm member brain storm student activity,c10
"feb 2015 mentor graphics training ""ic analog design""",c5
"selected one fifteen 15 students join mentor graphics training ""ic analog design"" finished training",c5
making project ic nand gate // using mentor's tools,c14
jan 2015 time management seminars sessions civil student activity,c10
joined time management seminars sessions civil student activity handle time right way,c10
2014 samsung developer challenge initiative,c5
worked develop android application entaleq samsung developer challenge initiative,c5
mar 2014 sessions case study exxon mobil supply chain management,c1
worked team students put steps creating first egyptian car factory case study taking,c10
sessions exxon mobil supply chain,c5
feb 2014 pcb course jelecom egypt,c1
finished project auto turn on/off street light application pcb course jelecom egypt,c14
feb 2014 analog digital electronics course jelecom egypt,c1
made project security counter garage application analog digital electronics course jelecom,c14
2014mat lab basics,c2
persevered finish online course mat lab basics,c1
2010 isef egypt science competition fair,c5
joined isef egypt science competition fair gained special certificate,c5
aiming work software developer esteemed organization provides excellent growth,c11
order learn latest development techniques,c11
b sc computers information thebes academy,c12
major computer science,c12
accumulative grade pass,c13
graduation project title quick mail,c14
objective project provide environment persons let chat,c14
autonomous network systems consisting routers hosts wireless,c14
lan network systems,c2
graduation project grade excellence a+,c14
c#,c2
asp net,c2
visual studio 2010,c2
ms sql server devolpment,c2
word excel access powerpoint internet email,c2
mcitp network course,c1
web design,c2
html,c2
css,c2
excellent nonsmoker,c11
football walking music technical books,c11
languages,c4
arabic native,c4
english,c4
reference documents furnished upon request,c11
career objective,c11
competent high caliber capable future leader manager,c11
employment history,c11
jan 2014 apr 2014 participant robotics student organization,c10
robocon competition helwan university,c5
may 2013 july 2013 internship trainee romarack company gained,c5
good knowledge caterpillar industry basic concepts terms,c2
equipments excavator loaders,c11
student faculty engineering helwan university,c9
high school certificate thanawya amma total grade 96 36%,c11
courses,c1
english courses british council pre intermediate levels,c1
languages,c4
arabic native language,c4
english good spoken written,c4
computer skills,c2
good knowledge microsoft office applications internet user,c2
windows brands 98 2000 xp vista windows 7,c2
sony vegas,c2
adobe photoshop,c2
marital status single,c11
military service postponed,c11
shams university faculty engineering,c12
department communication electronics department,c12
year third,c9
1 diploma qualification job market self development,c1
2 introduction branding online academy rwaq 25/8/2014,c1
3 principles human resource management online academy,c1
edraak 15/3/2015,c1
"4 thinking logical fallacies online academy ""rwaq"" 18/2/2015",c1
"5 learning learn online academy ""rwaq"" 22/3/2015",c1
training,c5
1 summer training see 29/6/2014 29/7/2014,c5
2 one day training alcatel lucent smart village,c5
marital status single,c11
technical skills,c2
languages skills,c4
arabic mother tongue,c4
english good spoken written,c4
computer skills,c2
autocad 2d,c2
microsoft office word excel powerpoint,c2
good knownledge c++,c2
good knownledge matlab,c2
communication skills,c3
idt12 ehyaa member,c10
apec13 crm bp member,c10
personal skills,c3
self motivated ability achieve high performance,c3
communication teamwork problem solving time management,c3
reading surfing internet,c3
3rd year faculty engineering shams,c9
university 2014 2015 communication,c12
electronics department,c12
secondary school sara taki allah language,c11
school,c11
participent edutronics ic design program faculty,c5
engineering ainshams university 3 years course,c1
supported ministry communication faculty,c1
engineering shams university,
ccna course,c1
matlab course,c1
human resources informal course succees skills patent,c1
online cources,c1
mentor graphics training,c1
"""elmasrya etsalat"" training",c5
computer skills,c5
search internet excellent,c11
using keyboard fast,c11
software using,c2
matlab,c2
vhdl,c2
simulators multisim orcad spice cisco packet,c2
tracer,c2
languages,c4
fluent english,c4
french good,c4
skills,c3
hard work,c3
responsibility taker reliable,c3
self motivated,c3
team motivating,c3
organized,c3
cooperative,c3
commetment,c3
previous grades,c13
1st year preparatory good 83 5 %,c13
2nd year 1st electrical good 79 7%,c13
3rd year 2nd electrical good 83%,c13
student faculty engineering tanta second year computer science,c9
student working volunteer ieee tsb work pr fr,c10
career history,c5
student faculty engineering tanta university,c12
second year computer science,c9
volunteer ieee tsb,c10
c++,c2
java,c2
python,c2
microcontroller,c2
experience,c5
worked project first year wasn't successful learned work,c11
team manage team try motivate team reach goal,c3
seeking learn new skills including social interactive interpersonal leadership skills allow,c11
grow professionally add demanded value organization work thus prove,c11
worth furthermore would love experience worth helping others giving back society,c11
contribute common good,c11
graduated modern education school cairo year 2013,c11
earned general secondary diploma math section scored 96 9%,c11
currently studying german university cairo guc,c9
major networks engineering,c12
year 3rd year,c9
gpa 1 53 excellent,c13
extracurricular activities,c10
model united nations german university cairo gucmun,c10
former member logistics co ordination committee,c10
nawwar german university cairo,c10
current research member nawwars mathematics department,c10
cairo animal rescue team cart,c10
current volunteer rescue department cart,c10
resala charity organization,c10
former organizer second hand clothes fair resala,c10
career related experience,c5
former trainee orange business services,c5
department technical services operations,c5
description attended daily sessions soft skills technical skills project management,c11
skills furthermore assigned back seating order learn service operations,c11
orange business services last day included presentation given us trainees project,c11
computer skills,c2
good knowledge android application development,c2
good knowledge xml,c2
good knowledge matlab programming language,c2
good knowledge logisim tool,c2
good knowledge c++ programming language,c2
good knowledge oment++ simulation package,c2
good knowledge linux,c2
intermediate knowledge p spice tool,c2
excellent knowledge microsoft office excel word power point,c2
language skills,c4
english full professional proficiency,c4
arabic native proficiency,c4
german limited working proficiency,c4
personal skills,c3
problem solving,c3
teamwork skills,c3
presentation skills,c3
strategic planning,c3
multitasking,c3
adaptability,c3
precision,c3
position field electronics special interests digital design,c2
university shams,c12
faculty engineering,c12
electrical engineering communications electronics department,c12
degree student,c9
year third year,c9
grade good,c13
engineering matlap modelsim multisim orcad visual,c2
studio hfss,c2
languages c/c++ assembly vhdl,c2
soft skills,c3
excellent communication skills,c3
