,Sentence,Label
856,Project management workshop participant,Courses
857,stp november 2011 april 2012,Others
858,stp student organization faculty,Others
859,engineering cairo university,Faculty
860,french course 2nd level,Courses
861,cfcc september 2010,Courses
862,faculty engineering cairo university,Faculty
863,bsc electronics communications engineering,Education
864,average cumulative grade 62 27 %,Grade
865,advanced logic design,Techskills
866,nanotechnology,Techskills
867,graduation Project mobile aided navigation tool blind,Project
868,mobile application catch picture person place identify informing blind person,Project
869,surrounded environment could walk freely without causing problems Others also using,Project
870,mobile face recognition could ease communication people,Project
871,6 october secondary school,Others
872,secondary education certificate,Others
873,score 97 9 %,Grade
874,federation radio television summer training july 2012,Experience
875,department broadcasting engineering,Experience
876,basics building mobile app eclipse good,Techskills
877,matlab simulink good,Techskills
878,simulation software multisim proteus good,Techskills
879,data structures via c++ good,Techskills
880,arabic native,Language
881,english excellent,Language
882,seeking challenging career relating field academic,Others
883,background training experience interpersonal skills applied,Others
884,enhanced,Others
885,undergraduate cairo university communication computer,Education
886,department credit hours system 2014,Faculty
887,attended seven weeks training cib commercial international bank,Experience
888,rounding different sectors information technology,Experience
889,attended one month systel training center basic,Experience
890,telecommunication two way mobile network broadband 2013,Project
891,attended three weeks siemens industrial home automation,Experience
892,attended one month training telecom egypt one theoretical week,Experience
893,public switched telephone networks two practical weeks,Experience
894,attended one month training cib commercial international bank,Experience
895,configuration networks using routers switches 2010,Others
896,designed website database using sql 2011,Project
897,designed system measure temperature operate fan using,Project
898,designed chatting system 3 computers using assembly,Project
899,implemented c++ program simulate logic gates graphical user,Project
900,c++ mat lab vhdl assembly language sql ccna gsm java,Techskills
901,linux,Techskills
902,good communication skills interpersonal skills,Personalskills
903,worked high pressure,Personalskills
904,good english,Language
907,summary qualications,Others
908,qualication bachelor computers systems engineering,Education
909,faculty engineering shams university,Faculty
910,grade good 73 12%,Grade
911,graduation Project face gender classication,Project
912,ccna course apr 2014,Courses
913,cisco certi cid 31 ed network associate 803 cisco id csco12588980,Courses
914,itil foundation course self study,Courses
915,java j2se course,Courses
916,software developer,Experience
917,duties,Others
918,working team build web based application,Others
919,establish software prototypes determine priorities,Others
920,designing developing testing asp net applications,Others
921,developing new components existing systems,Others
922,participating database design development,Others
923,arabic mother tongue,Language
924,english good,Language
925,ccna good,Techskills
926,asp net using c# vb net visual studio good,Techskills
927,html ajax css javascript good,Techskills
928,sql server management studio good,Techskills
929,ssis sql server integration service good,Techskills
930,sql server agent jobs basic knowledge,Techskills
931,ssrs sql server reporting service basic knowledge,Techskills
932,microsoft cid 30 ce good,Techskills
933,flexible creative good communications,Personalskills
934,planning organizing developing producing results,Personalskills
935,quickly new varied situation,Personalskills
936,team player independent worker precision,Personalskills
937,ability analyze information make recommendations,Personalskills
938,hard worker ability work pressure,Personalskills
939,work multitasking time management,Personalskills
940,ambitious determined,Personalskills
941,challenging technical support career opportunity field information,Others
942,technology increase knowledge gain experience academic,Others
943,background communication team work skills,Others
944,faculty computers information cairo university,Faculty
945,department ;major information technology,Faculty
946,minor decision support,Faculty
947,gpa 2 7 / 4 0,Grade
948,el orman experimental language school,Others
949,networking knowledge troubleshooting experience,Experience
950,computer good knowledge programming c++ java html,Techskills
951,php java script matlab abap sql server,Techskills
952,team player leadership experience,Personalskills
953,excellent communication soft skills,Personalskills
954,analytical mind adaptation capability,Personalskills
955,willing learn knowledge technical experience,Personalskills
956,willing learn new skills subjects,Personalskills
957,arabic native,Language
958,english excellent read good spoken,Language
959,team leader yalla na3ml 5er team,Others
960,ccna mcsa course,Courses
961,reading swimming squash,Others
962,bsc computer systems department 2013 electrical engineering shams university,Education
963,"graduation Project ""in vehicle infotainment ivi """,Project
964,simply ivi system system achieved using two bases development,Project
965,hardware plus software solution software solution hence offering,Project
966,user option choose low cost portable platform specifically,Project
967,tailored car bound platform,Project
968,platforms introduce mandatory software solutions,Project
969,parking assist navigator gps car tracker video/audio application file manager,Project
970,park assist aids user parking using graphical instructions sensing,Project
971,surrounding obstacles achieve functionality tool mandate,Project
973,parking sensors arduino board manage communication,Project
974,users device sensors,Project
975,"role designing parking module arduino ""microcontroller"" writing implementing",Project
976,testing algorithm park assist system,Project
977,cumulative grade good 72 88%,Grade
978,graduate year may 2013,Others
979,general secondary certificate 2008 halmya el zaiton el secondary school cairo egypt,Others
980,score 95%,Grade
981,toshiba el araby summer 2010 laptops maintenance,Others
982,faculty engineering ainshams university summer 2012 vstation emulator,Faculty
983,jelecom 2011 microcontroller using pic microcontroller mplab ide learning,Project
984,read data sheet microcontroller sensor/actuator understand use,Project
985,iteshare april 2014 android course first app lists calculator putting background,Courses
986,c++,Techskills
987,matlab,Techskills
988,verilog,Techskills
989,vhdl,Techskills
990,python,Techskills
991,sql,Techskills
992,java android still learning,Techskills
993,assembler disassembler using c,Project
994,microprocessor using verilog,Project
995,data structure algorithms using c++,Project
996,timer arm processor integrating small microprocessor using,Project
997,verilog,Techskills
998,genetic algorithm optimization objective function using matlab,Project
999,"compiler using lex yacc ""using linux operating system""",Project
1000,dc motor control using pic microcontroller interfaced lc,Project
1001,"timer pwm using ""microcontrollers avr atmega 32 """,Project
1002,simple calculator using python codeskulptor,Project
1003,participated revive workshop whose objective achieve social development,Others
1004,using business self development understanding society using business,Others
1005,"explore ""student activity"" july 2010",Others
1006,participated workshops one learned principles leadership time,Others
1007,"pirates ""student activity"" july 2011",Others
1008,"participated learning microcontroller ""pic"" electronics sessions",Others
1009,arabic native language,Language
1010,english good,Language
1011,italian fair,Language
1012,microsoft office good,Techskills
1013,windows installing setup,Techskills
1014,linux/unix good,Techskills
1015,languages,Language
1016,faculty engineering cairo university,Faculty
1017,faculty engineering cairo university 2013,Faculty
1018,major communication electronics,Faculty
1019,grade good honors 81%,Grade
1020,graduation Project,Project
1021,asic design adpll cusparc supervisor dr serag el din habib grade excellent,Project
1022,adpll digital phase locked loop digital pll adpll pll analog components phase,Project
1023,comparison loop filtering frequency generation done digital domain adplls feature ease design,Project
1024,ease portability technology nodes hand jitter performance inferior analog,Techskills
1025,counterparts target design clock synthesis adpll embedded cairo university sparc processor,Techskills
1026,cusparc target technology ibm 0 13 micron technology dco block adpll built using full,Techskills
1027,custom approach whereas rest system designed using standard cell approach detailed simulation,Techskills
1028,verification adpll sub blocks carried using hybrid cadence mentor cad tools,Techskills
1029,academic Projects,Project
1030,arithmetic logic unit alu using top spice software simulation hardware well,Project
1031,designing microprocessor special instructions named micro comm 2013 core using vhdl,Project
1032,mcq device device using correcting mcq exam output student grades excel sheet,Project
1033,data acquisition system using microcontroller pic16f877a,Project
1034,vehicle tracking system using gsm gps modules,Project
1035,vlsi design electronic circuits using asic vlsi design approach,Courses
1036,vlsi ii mems applications mechanical background analog design,Courses
1037,industrial electronics fault modeling testing ic micro processor based control systems,Techskills
1038,data base management mysql,Techskills
1039,ccna,Courses
1040,microsoft office package,Techskills
1041,microcontroller microc proteus,Techskills
1042,c c++ dev c++ eclipse,Techskills
1043,matlab,Techskills
1044,vhdl verilog system verilog modelsim quartus,Techskills
1045,digital desgin flow verification,Techskills
1046,analog design cadence new virtuoso layout drc l edit,Techskills
1047,hardware experience testing,Techskills
1048,previous work experience,Techskills
1049,mandatory teacher assistant math physics dept cairo university faculty engineering,Experience
1050,technical support engineer tedata march 2014 till,Experience
1051,internships trainings,Experience
1052,summer 2011 helwan electrical company plc,Experience
1053,summer 2012 telecom egypt company,Experience
1054,summer 2012 vlsi academy digital design flow,Experience
1055,extracurricular activities,Others
1056,member resala cairo university team,Others
1057,member comm2013 one team kheer team,Others
1058,languages,Language
1059,arabic native,Language
1060,english good reading speaking writing english advanced english certification,Language
1061,faculty engineering cairo university,Faculty
1062,bsc electronics communications engineering,Faculty
1063,cumulative grade good 81 25 %,Grade
1064,preparing master's degree control,Education
1065,gpa 3 9 4,Grade
1066,graduation Project land oil site control invensys,Project
1067,Project supervised dr ahmed ismail specified controlling oil site specified refining,Project
1068,extracting crude oil concerned controlling site using distributed control system dcs,Project
1069,addition emergency shutdown esd communication,Project
1070,graduation Project grade excellent,Grade
1071,advanced topics logic synthesis design 1,Techskills
1072,advanced topics logic synthesis design 2,Techskills
1073,operating system,Techskills
1074,el orman language secondary school,Others
1075,secondary education certificate,Others
1076,score 97 2 %,Grade
1077,invensys summer training july 2012 august 2012,Experience
1078,department esd dcs department,Experience
1079,performance rating exceeding expectations well,Others
1080,system motorolla summer training august 2012 september 2012,Experience
1081,department general training company departments antenna department shelter design general,Experience
1082,communication back ground,Techskills
1083,performance rating good expectations,Others
1084,basics linux good,Techskills
1085,matlab good,Techskills
1086,data structures via c++ good,Techskills
1087,c programming good,Techskills
1088,plc good,Techskills
1089,vhdl programming good,Techskills
1090,word / excel good,Techskills
1091,ability success team work,Personalskills
1092,devoted work,Personalskills
1093,willing learn,Personalskills
1094,ambitious,Personalskills
1095,extracurricular activities,Others
1096,cece communication electronics engineering club 2011 2012,Others
1097,student activity member activity increases experience giving basics,Others
1098,analog communications electronics,Techskills
1099,languages,Language
1100,arabic native,Language
1101,english excellent,Language
1102,military status exempted,Others
1103,objective,Others
1104,challenging position fast growing organization embedded system design provides,Others
1105,expertise starting career leading company creates embedded software modules,Others
1106,cairo university giza egypt,Faculty
1107,bsc degree electronics electrical communications engineering good grade 2012,Education
1108,graduation Project grade excellent,Grade
1109,modeling lte downlink shared channel physical control channel using multi input multi,Project
1110,output antenna mimo standard etsi,Techskills
1111,computer architecture design,Techskills
1112,digital logic design,Techskills
1113,data structure,Techskills
1114,digital communications systems,Techskills
1115,digital signal processing,Techskills
1116,computer networks,Techskills
1117,Projects,Project
1118,mastering fpga vhdl,Techskills
1119,implement fsm vdhl model uart transmitter receiver input spartan,Project
1120, fpga kit showing output windows terminal 2014,Techskills
1121,ps2 keyboard controller key scan detection 2014,Techskills
1122,lcd controller 2014,Project
1123,graduation Project lte physical downlink shared channel implementation mimo,Project
1124,matlab modeling ofdm lte downlink shared channel physical control,Techskills
1125,channel multiple mimo configurations connecting systems building blocks,Techskills
1126,simulate ofdm symbols sending receiving channel model 2012,Project
1127,digital signal processing,Techskills
1128,handwritten digits recognition system multiple feature extraction algorithms,Project
1129,zoning kmeans dct kirsch applying mixed combinations feature extraction,Project
1130,mixed classifiers combinations gaussian mixtures neural network support vector,Project
1131,machine svm clustering kmeans using training data test data 2012,Project
1132,voice recognition algorithm using matlab 2012,Project
1133,designing simple arithmetic logical unit using vhdl 2011,Project
1134,embedded Projects,Project
1135,electronic voting system using atmels atmega microcontrollers interfacing lcd,Project
1136,designing digital logic simple microprocessor 2010,Project
1137,programming languages,Techskills
1138,matlab c/c++ assembly vhdl,Techskills
1139,visual studio eclipse avr studio modelsim,Techskills
1140,operating systems,Techskills
1141,windows linux,Techskills
1142,embedded linux,Techskills
1143,real time operating systems,Techskills
1144,activities hobbies,Others
1145,children literacy charity activity 2012 2013,Others
1146,reading internet surfing music,Others
1147,native language arabic,Language
1148,proficient speaking writing english,Language
1149,basic french,Language
1150,marital status single,Others
1151,military service completed mach 2014,Others
1152,seeking challenging position reputable company,Others
1153,academic background interpersonal skills,Others
1154,well developed utilized,Personalskills
1155,bsc electrical engineering electronics,Faculty
1156,communications department faculty engineering,Faculty
1157,shams university july 2012,Education
1158,cumulative grade good,Grade
1159,graduation Project grade excellent,Project
1160,master student shams university,Education
1161,graduation Project,Project
1162,sigma delta based interface asic capacitive,Project
1163,micro accelerometer sponsored si ware,Project
1164,systems,Project
1165,high dropout voltage regulator,Project
1166,sigma delta adc comparator,Project
1167,sigma delta adc integrator,Project
1168,vlsi background,Techskills
1169,analog ic design,Techskills
1170,rf ic design,Techskills
1171,analog layout techniques nanodevices,Techskills
1172,product developer ttc technologies,Techskills
1173,system analysis,Techskills
1174,performance optimization cost analysis,Techskills
1175,reverse engineering troubleshooting,Techskills
1176,pcb design schematic gerber files,Techskills
1177,prototyping testing,Techskills
1178,matlab,Techskills
1179,cadence mentor ic design tools,Techskills
1180,c/c++ programming languages,Techskills
1181,vhdl/modelsim,Techskills
1182,ms word 2007 ms power point 2007 ms visio 2007,Techskills
1183,summer training nti national telecommunication,Experience
1184,institute,Experience
1185,summer training cairo oil refining company,Experience
1186,meca sessions,Others
1187,ieee sponsored courses plc,Others
1188,arabic native tongue,Language
1189,good speaking listening english,Language
1190,good writing english,Language
1191,level headed hard working fast learning multi task,Personalskills
1192,time management attention details,Personalskills
1193,reading books,Others
1194,playing computer games table tennis,Others
1195,available upon request,Others
1196,marital status single,Others
1197,military service exempted,Others
1198,faculty engineering cairo university electronics electrical,Faculty
1199,communications department,Faculty
1200,high school alaa al din private schools giza egypt june 2011 science,Others
1201,section score 99%,Grade
1202,languages,Language
1203,arabic mother tongue,Language
1204,english good spoken written,Language
1205,german fair,Language
1206,extra curricular activities,Others
1207,k vector 2013 participated bio medical branch,Others
1208,ieee institute electrical electronics engineers cairo university student,Others
1209,branch organizational committee member 2014,Others
1210,computer skills,Techskills
1211,good knowledge ms windows,Techskills
1212,good knowledge ms office software,Techskills
1213,technical skills,Techskills
1214,good knowledge simulation software multisim,Techskills
1215,good knowledge data structure via c++,Techskills
1216,good knowledge matlab,Techskills
1217,good knowledge vhdl,Techskills
1218,faculty engineering cairo university,Faculty
1219,bsc electronics communications engineering,Education
1220,average cumulative grade good,Grade
1221,wireless communication system,Project
1222,optical fiber system,Project
1223,nano technology,Techskills
1224,graduation Project land oil site control supervised invensys,Project
1225,controlling oil site specified refining extracting crude oil,Project
1226,Project concerned controlling site using distributed control system dcs,Project
1227,addition emergency shutdown esd,Project
1228,el ibrahimya language school,Others
1229,secondary education certificate,Others
1230,microcontroller course using pic,Techskills
1231,pcb course using dip trace program,Techskills
1232,embedded diploma includes assembly,Techskills
1233,c language,Techskills
1234,computer architecture,Techskills
1235,tooling,Techskills
1236,software engineering,Techskills
1237,interfacing,Techskills
1238,rtos,Techskills
1239,testing,Techskills
1240,device drivers,Techskills
1241,web design diploma includes html,Techskills
1242,html5,Techskills
1243,css,Techskills
1244,css3,Techskills
1245,started course web development diploma mcsd,Courses
1246,c# asp net sql server 2012 ado net mvc4 html css javascript,Techskills
1247,mobile development diploma,Courses
1248,java android ios,Techskills
1249,ccna,Courses
1250,self learning courses microcontroller avr,Techskills
1251,intro java,Techskills
1252,photoshop,Techskills
1253,work experience,Experience
1254,november 2013 web developer alazhar Project ministry communication,Experience
1255,information technology,Techskills
1256,job tasks data entry,Experience
1257,sql querying,Techskills
1258,full asp net pages,Techskills
1259,professional experience,Experience
1260,summer 2009 havent selected department yet,Experience
1261,summer 2010 training cairo university month supported cece,Experience
1262,suzan mubarak center science,Experience
1263,summer 2011 telecom egypt,Experience
1264,jelecom training center microcontroller course,Experience
1265,summer 2012 embedded system diploma,Experience
1266,web design diploma,Courses
1267,activities,Others
1268,representative study group front department 2 years charity,Others
1269,team communication department,Others
1270,member resala charity /faisal branch,Others
1271,member nour el basira charity,Others
1272,soft skills planning presentation skills team work leadership skills self motivated,Personalskills
1273,ambitious,Personalskills
1274,technical skills c/c++ excellent,Techskills
1275,matlab good,Techskills
1276,cadence good,Techskills
1277,ns2 network simulator good,Techskills
1278,plc good,Techskills
1279,vhdl programming good,Techskills
1280,word/excel good,Techskills
1281,language arabic native language,Language
1282,english excellent listening writing good spoken language,Language
1283,italian french beginner,Language
1284,ability success team work,Personalskills
1285,devoted work,Personalskills
1286,willing learn,Personalskills
1287,ambitious,Personalskills
1288,hobbies interests,Others
1289,reading stories newspaper,Others
1290,political affairs world,Others
1291,watching english movies,Others
1292,seeking r position leading organization field embedded systems,Others
1293,part dynamic growing team professionals able enhance technical,Others
1294,knowledge experience contribute success organization,Others
1295,menofiya university,Faculty
1296,faculty electronic engineering,Faculty
1297,bsc industrial electronics automatic control systems engineering,Education
1298,grade good 69 22 %,Grade
1299,"graduation Project ""smart street lighting system""",Project
1300,Project grade excellent 99 5 %,Grade
1301,graduation year 2012,Project
1302,work experience,Experience
1303,futek egyptian micro electronics,Experience
1304,add sadat city second industrial zone part 11 15,Experience
1305,position r engineer 1/7/2012 10/1/2013,Experience
1306,job description member development team responsible designing,Techskills
1307,implementation embedded hardware software new programmed,Techskills
1308,electronic ballasts lamps power saving power management products,Techskills
1309,graduation Project,Project
1310,automatic control system save 50% 80% power consuming lighting,Project
1311,streets make automatic control every pole remote management remote measurement,Project
1312,electric variables intelligent control energy savings monitoring complete operation,Project
1313,lighting systems via gprs connection rf communication,Project
1314,detects faults ground defective insulations fused lamps illegal connection loads,Project
1315,power lines etc,Project
1316,provides energy savings 30% power consumption power reduction,Project
1317,lamps 50% selectively individually certain preprogrammed hours,Project
1318,responsible pcb design embedded software programming,Project
1319,link Project al ahram newspaper,Project
1320,electrical electronic control engineering,Techskills
1321,energy saving management,Techskills
1322,electrical power machines ac dc stepper motors speed drives,Techskills
1323,electrical electronic measurements,Techskills
1324,"micro controllers pic renesas rx62n atmel avr""s microcontrollers families",Techskills
1325,computer architectures microprocessor microcontrollers architectures,Techskills
1326,real time control systems,Techskills
1327,fpga high speed hardware description language vhdl,Techskills
1328,little ieee standards dealing lan man,Others
1329,robotics little view automotive lighting,Techskills
1330,embedded systems,Techskills
1331,gsm gprs modems,Techskills
1332,software engineering,Techskills
1333,first place fee robotics club competition micro mouse robot,Experience
1334,fabricate automatic robot avoid obstacles conjunction student team spy robot,Techskills
1335,designing implementation,Techskills
1336,testing production line,Techskills
1337,safety system factories,Techskills
1338,smart street lighting system,Techskills
1339,energy management system,Techskills
1340,software skills,Techskills
1341,assembly ansic embedded c software debugging,Techskills
1342,real time operating system software design methodology,Techskills
1343,great knowledge communication protocols like lin spi i2c,Techskills
1344,vhdl,Techskills
1345,autosar architecture,Techskills
1346,hardware skills,Techskills
1347,reverse engineering circuits design analysis pcb design,Techskills
1348,organization architecture micro controllers,Techskills
1349,energy saving efficiency management,Techskills
1350,strong experience using instrumentations oscilloscope logic analyzer,Techskills
1351,software tools,Techskills
1352,eclipse ide avr studio atmel studio code vision avr,Techskills
1353,altium designer,Techskills
1354,isis proteus simulation tool,Techskills
1355,matlab,Techskills
1356,personal skills,Personalskills
1357,installation debugging troubleshooting system analysis,Techskills
1358,team working self learning teaching training,Personalskills
1359,finding appropriate information sources ability learn new tools,Personalskills
1360,self motivating service orientation little view marketing,Personalskills
1361,organizing running large meetings,Personalskills
1362,persuading negotiating public speaking,Personalskills
1363,taking work challenge restrictions relocate travel short long terms,Personalskills
1364,egypt universities forum 2012,Experience
1365,center innovation development,Experience
1366,ntras sponsorship graduation Projects,Experience
1367,engineering authority armed forces,Experience
1368,trainings,Experience
1369,toshiba factories,Experience
1370,futek egyptian micro electronics factory,Experience
1371,telecom egypt tedata,Experience
1372,industrial systems company,Experience
1373,benha electronics company,Experience
1374,arabic mother tongue,Language
1375,english english excellent command spoken/written/reading,Language
1376,activities,Others
1377,founder fee robotics club,Others
1378,good visitor eed,Others
1379,organizer courses faculty,Others
1380,attending engineering events galleries,Others
1381,"organizer amr khalid ""s event shebin el kom stadium",Others
1382,member al rahma charity,Others
1383,member shabab online committee,Others
1384,interesting playing computer games,Others
1385,military service completed,Others
1386,marital status single,Others
1387,software engineer,Techskills
1388,passion make difference,Personalskills
1389,last 3 years involved embedded system experience,Techskills
1390,working lot Projects leading many innovative Projects propose,Personalskills
1391,new paradigm using high tech making social impact one package,Personalskills
1392,summary,Others
1393,university menoufia faculty engineering,Faculty
1394,bsc,Education
1395,year grad 2013 excellent honors 7th,Grade
1396,Project grad sorter solving garbage problem excellent,Project
1397,computer science engineering,Faculty
1398,responsible sensors design circuit interface,Project
1399,programming arm microprocessor stm32f103zet6 c language,Project
1400,budgetary planning time schedule Project tasks,Project
1401,provide professors required reporting,Project
1402,incubator | team leader,Personalskills
1403,responsible sensors design circuit interface,Techskills
1404,programming microcontroller pic 18f452 c language,Techskills
1405,write required reports professor,Others
1406,follow team tasks ensure Project delivered time,Others
1407,line follower | Project manager,Experience
1408,2nd winner academic competition,Experience
1409,responsible sensors design circuit interface,Techskills
1410,programming microcontroller pic 18f452 c language,Techskills
1411,fire robot | Project manager,Experience
1412,responsible hardware design implementation,Techskills
1413,programing microcontroller 16f84a c language,Techskills
1414,follow team tasks ensure Project delivered time,Others
1415,faculty electronic engineer menoufia university,Faculty
1416,academic ccna certification,Courses
1417,enhance work experience build strong highly qualified career,Others
1418,android developer working productive creative team work,Techskills
1419,2009 2014 bachelor computer science mansoura university,Education
1420,faculty computer information information system department,Faculty
1421,overall grade good,Grade
1422,graduation Project android application tourism egypt,Project
1423,grade excellent,Grade
1424,professional courses,Courses
1425,oracle developer outbox mansoura jan 15 aug 27 ; 2013,Experience
1426,android developer itshare mansoura feb 15 june 25 ; 2014,Experience
1427,asp net itshare mansoura,Experience
1428,arabic mother language,Language
1429,english writing reading speaking,Language
1430,development mobile apps based android,Techskills
1431,deals clients data feeds designs,Personalskills
1432,co operation development team member production,Personalskills
1433,ability work Project without detailed instructions,Personalskills
1434,going maintenance existing Projects,Personalskills
1435,excellent knowledge android sdk,Techskills
1436,knowledge xml json,Techskills
1437,knowledge sqlite database,Techskills
1438,coding standards organizational programming skills,Techskills
1439,training water station mansoura,Experience
1440,deltawy net company,Experience
1441,android developer al mahalla al kubra al gharbiyah aug 4 ;2014,Experience
1442,interactive learn new technologies,Personalskills
1443,good time manager,Personalskills
1444,ability work pressure,Personalskills
1445,ability work team individually,Personalskills
1446,military status yet,Others
1447,marital status signal,Others
1448,marital status married,Others
1449,military service exempted,Others
1450,faculty energy engineering aswan university class 2012,Faculty
1451,major high voltage networks engineering,Education
1452,total graduation points 1 57,Grade
1453,graduation Project high dam substation design simulation,Project
1454,graduation Project grade a+,Grade
1455,"high school gamal abdel nasser military school boys ""mathematical",Others
1456,arabic native language,Language
1457,english excellent written reading v good spoken,Language
1458,french good,Language
1459,german basic knowledge,Language
1460,computer skills,Techskills
1461,familiar jcreator netbeans eclipse ides android studio,Techskills
1462,programming languages java expert sqlite expert mysql prior,Techskills
1463,experience android development expert,Techskills
1464,familiar adobe photoshop,Techskills
1465,familiar programming using andengine,Techskills
1466,android developer ibtikar technologies co january 2015 till,Experience
1467,game developer ibtikar technologies co october 2014 till,Experience
1468,"android developer ""madar software"" may 2013 till october 2014",Experience
1469,worked six months marketing manager house training,Experience
1470,consultation solutions aswan,Experience
1471,worked four years marketing executive mega advertising agency,Experience
1472,courses certifications,Courses
1473,"""java programming"" 80 hours course",Courses
1474,"""fundamentals querying using mysql"" 16 hours course",Courses
1475,"""java database enterprise connectivity"" 16 hours course",Courses
1476,"""web component development servlet jsp jsf ejb",Techskills
1477,"technologies"" 80 hours course",Courses
1478,"""android applications development"" 40 hours course",Courses
1479,attended qualifying courses marketing communication,Courses
1480,presentation skills,Personalskills
1481,"attended ""trainer trainers"" course organized united nations",Courses
1482,voluntary activities,Others
1483,volunteered fagr al nahda association ngo 2005 till 2010,Others
1484,leader e marketing team association four years,Experience
1485,leader advertising publicity public relations future guardians,Others
1486,Project concerned spreading awareness drug addiction one,Others
1487,marketing supervisor marketing committee future technology,Experience
1488,h r trainer several Projects teams association,Experience
1489,volunteered bedaya association ngo aswan,Others
1490,supervisor marketing committee,Experience
1491,h r trainer several Projects teams,Experience
1492,talented individual analytical mind ability respond complex issues knowledge strategic trouble,Personalskills
1493,artificial intelligence,Techskills
1494, image processing ,Techskills
1495,development sql,Techskills
1496, public libraries aes/des encryption decryption,Techskills
1497,communications interpersonal skills,Personalskills
1498,Project management methodologies ,Personalskills
1499,hcs12 microcontroller experience ,Experience
1500,presentation skills,Personalskills
1501,java software developer blocks | professional software services,Techskills
1502,developing web based applications java ee technologies java based web application frameworks,Techskills
1503,like jsf jsp,Techskills
1504,software design,Techskills
1505,decentralized peer peer computing system,Project
1506,Project implements technology peer peer decentralized cloud system sharing,Project
1507,computer resources computing power storage etc peers depends using idle time,Project
1508,peers uses available resources get mainly large computing power peers free,Project
1509,Project developed using java language,Project
1510,scanner parser system,Project
1511,Project implements scanner parser using lex scanner generator yacc parser,Project
1512,generator programming language called tiny language tiny program sequence,Project
1513,heat protection control system,Project
1514,control system controls heat temperature electronic device protects overheating,Project
1515,controller used arduino uno kit full physical deployment control system,Project
1516,calendar system program,Project
1517,user calendar program able schedule appointments calendar early,Project
1518,reminders scheduled appointments ability schedule appointment user,Project
1519,program user interface implemented using qt database implement using sql,Project
1520,data mining,Techskills
1521,data mining insurance company customer data,Project
1522,data mining intended finding relations correlations attributes customers data,Project
1523,use increasing business value company implementing strategies using findings,Project
1524,Project implemented using r language,Project
1525,encryption,Techskills
1526,aes des encryption decryption system,Techskills
1527,decrypting encrypting data using aes des algorithms Project implemented using c++,Project
1528,hardware design,Techskills
1529,designing computer processor using verilog,Project
1530,knowing verilog,Techskills
1531,designing fully functional cpu processing unit using verilog language,Project
1532,database design,Techskills
1533,public library database full design,Techskills
1534,designing public library full database possibility querying certain information using sql,Techskills
1535,programming skills c c++ c# java python sql javascript jquery jsp jsf css html arduino,Techskills
1536,assembly language matlab prolog verilog vhdl,Techskills
1537,software development life cycle,Techskills
1538,hardware design / modelling,Techskills
1539,Project management,Personalskills
1540,information systems security access control telecommunications network security information security,Techskills
1541,governance risk management software development security cryptography security architecture,Techskills
1542,design operations security business continuity disaster recovery planning legal regulations,Techskills
1543,investigations compliance physical security,Techskills
1544,bachelor science computer systems engineering,Education
1545,faculty engineering shams university,Faculty
1546,seeking training company enables utilize computer communication language,Others
1547,bachelors degree engineering,Education
1548,helwan university egypt overall grade,Faculty
1549,good,Grade
1550,studied subjects communication electronics,Education
1551,high school el mokattam experimental language school egypt,Others
1552,extra courses,Courses
1553,android applications stp student activity cairo university,Experience
1554,mobile package huawei cooperation apec student activity,Experience
1555,4g started 1g workshop vodafone cooperation ieee,Experience
1556,embedded system amit center,Courses
1557,Project management leoni cooperation flickers student activity,Experience
1558,english conversation concept center,Courses
1559,quality control leoni cooperation flickers student activity,Experience
1560,hr olympic group cooperation flickers student activity,Others
1561,arts management online,Courses
1562,basics electronics ieee student activity,Others
1563,stp wireless communication systel,Experience
1564,participate injaz startup competition,Experience
1565,participate rov remotely operated vehicle competition,Experience
1566,challenger cairo space apps hakathone nasa,Experience
1567,nile university two days,Experience
1568,trainee intern egypt air cairo egypt,Experience
1569,industry information technology services network,Experience
1570,trainee intern systel cairo egypt,Experience
1571,industry telecommunications services,Experience
1572,basics mobile system broadband two way,Techskills
1573,wireless communication linux unix,Techskills
1574,trainee intern arab organization,Experience
1575,industry electronics components,Experience
1576,trainee intern telecom egypt cairo egypt,Experience
1577,industry telecommunications services network,Experience
1578,feb 2014 jul 2014 4 months Project manager flickers student activity,Others
1579,giving detailed Project plan cooperation executives,Personalskills
1580,making sure Project phases done schedule required quality,Personalskills
1581,minimizes risks Project,Personalskills
1582,manages Project budget,Personalskills
1583,lead planning implementation Project,Personalskills
1584,coordinate Project staff,Personalskills
1585,raising spirit members within his/her Project,Others
1586,detailed report progress work president,Others
1587,preserve flickers image increase awareness flickers important role society,Others
1588,documentation every action detail,Others
1589,hr executive flickers student activity,Others
1590,orientation new members workshops games sessions general meetings,Others
1591,proles members evaluation,Others
1592,motivation plan team work team spirit outings planning competitions members,Others
1593,externally recruitment selection participants responsible,Others
1594,prole participant entered flickers interview members,Others
1595,responsible customer service mails mailing reporting system,Experience
1596,hr specialist flickers student activity,Others
1597,excellent communication skills capable,Personalskills
1598,management skills ,Personalskills
1599,self motivated leadership people ,Personalskills
1600,friendly optimistic empathic honest fair problem solving skills creative patient,Personalskills
1601,cooperative,Personalskills
1602,able learn new subjects relate core job volunteering work helping people,Personalskills
1603,organization skills,Personalskills
1604,organized plan hr team flickers applied executive position,Experience
1605,teamwork skills,Personalskills
1606,computer skills,Techskills
1607,volunteer student activity 3 years,Experience
1608,graduate engineer interested,Education
